"title" "year" "length" "budget" "rating" "votes" "r1" "r2" "r3" "r4" "r5" "r6" "r7" "r8" "r9" "r10" "mpaa" "Action" "Animation" "Comedy" "Drama" "Documentary" "Romance" "Short"
"Stalag 17" 1953 116 1315000 8.2 7153 4.5 4.5 4.5 4.5 4.5 4.5 14.5 24.5 24.5 24.5 "" 0 0 0 1 0 0 0
"Pets" 1999 95 NA 2.2 9 34.5 14.5 24.5 0 0 0 0 0 14.5 24.5 "" 0 0 1 0 0 0 0
"Opposite of Sex, The" 1998 105 NA 6.7 7404 4.5 4.5 4.5 4.5 4.5 14.5 24.5 24.5 14.5 4.5 "R" 0 0 1 0 0 0 0
"Toutes les filles sont folles" 2003 84 NA 5.2 75 4.5 4.5 4.5 4.5 14.5 24.5 14.5 14.5 4.5 4.5 "" 0 0 1 0 0 0 0
"Huntress: Spirit of the Night" 1995 86 NA 3.1 44 24.5 14.5 24.5 4.5 4.5 14.5 4.5 4.5 4.5 4.5 "R" 0 0 0 0 0 0 0
"Camarero nocturno en Mar del Plata" 1986 90 NA 5.6 14 14.5 14.5 14.5 4.5 4.5 0 0 4.5 0 34.5 "" 0 0 1 0 0 0 0
"Making of the Mahatma, The" 1996 144 NA 5.7 13 0 4.5 0 0 4.5 14.5 14.5 4.5 4.5 34.5 "" 0 0 0 0 0 0 0
"Agenzia Riccardo Finzi, praticamente detective" 1978 92 NA 4.7 13 4.5 0 0 24.5 4.5 4.5 14.5 24.5 4.5 4.5 "" 0 0 0 0 0 0 0
"Breakup Film, The" 2003 4 NA 9.4 7 0 0 0 0 0 0 0 24.5 0 74.5 "" 0 0 1 0 0 0 1
"Suxxess" 2002 103 NA 5.5 62 4.5 4.5 14.5 4.5 24.5 14.5 14.5 4.5 4.5 4.5 "" 0 0 0 1 0 0 0
"Doorway to Hell, The" 1930 78 NA 6.1 78 0 4.5 4.5 4.5 14.5 14.5 24.5 14.5 4.5 4.5 "" 0 0 0 1 0 0 0
"Divorce: A Contemporary Western" 1998 100 NA 6 11 4.5 0 14.5 0 4.5 0 14.5 14.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Seabiscuit" 2003 141 86000000 7.5 11552 4.5 4.5 4.5 4.5 4.5 4.5 24.5 34.5 24.5 4.5 "PG-13" 0 0 0 1 0 0 0
"Dim Sum: A Little Bit of Heart" 1985 88 NA 6.5 82 0 4.5 4.5 4.5 4.5 14.5 14.5 24.5 4.5 14.5 "" 0 0 1 0 0 0 0
"Little Sex, A" 1982 95 NA 4.5 78 14.5 4.5 14.5 24.5 14.5 4.5 14.5 4.5 4.5 4.5 "" 0 0 1 0 0 1 0
"Vella kalpi vella dzirnavas" 1972 92 NA 8.7 10 0 0 0 0 0 0 0 44.5 24.5 44.5 "" 0 0 0 0 0 0 0
"On Location with: FAME" 1980 12 NA 5.9 9 0 0 0 0 14.5 34.5 14.5 0 0 44.5 "" 0 0 0 0 1 0 1
"Eve Knew Her Apples" 1945 64 NA 5.7 8 0 0 0 14.5 14.5 45.5 0 14.5 14.5 0 "" 0 0 1 0 0 0 0
"Graveyard Alive" 2003 80 NA 7.4 19 14.5 0 4.5 0 14.5 14.5 4.5 44.5 0 14.5 "" 0 0 1 0 0 0 0
"Regjeringen Martin" 2002 28 NA 6.4 34 14.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 14.5 44.5 "" 0 0 1 0 0 0 1
"Ruffian, Le" 1983 108 NA 6.3 139 0 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 24.5 "" 0 0 0 0 0 0 0
"Bimbo Bowlers from Buffalo" 1989 82 NA 5.6 6 0 0 0 14.5 0 14.5 14.5 14.5 14.5 14.5 "" 0 0 0 0 0 0 0
"Story of Ruth, The" 1960 132 NA 5.7 78 4.5 0 4.5 4.5 4.5 14.5 14.5 24.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Scuola, La" 1995 104 NA 6.8 119 4.5 4.5 0 4.5 4.5 14.5 24.5 24.5 14.5 14.5 "" 0 0 1 0 0 0 0
"Wyatt Earp: Return to Tombstone" 1994 100 NA 5.5 35 4.5 0 4.5 14.5 24.5 4.5 4.5 4.5 0 24.5 "" 0 0 0 0 0 0 0
"Hollywood or Bust" 1956 95 NA 6.2 283 4.5 4.5 4.5 4.5 14.5 14.5 34.5 14.5 4.5 4.5 "" 0 0 1 0 0 0 0
"Puss Cafe" 1950 7 NA 7.4 28 0 0 0 4.5 4.5 14.5 24.5 34.5 4.5 14.5 "" 0 1 1 0 0 0 1
"Adversaire, L'" 2002 129 NA 6.7 442 4.5 4.5 4.5 4.5 4.5 14.5 24.5 24.5 4.5 4.5 "" 0 0 0 1 0 0 0
"Quiet Please!" 1945 7 NA 7.5 66 0 4.5 4.5 0 4.5 4.5 24.5 24.5 14.5 14.5 "" 0 1 1 0 0 0 1
"Big House, U.S.A." 1955 83 NA 6.1 56 4.5 0 4.5 4.5 4.5 24.5 34.5 4.5 14.5 4.5 "" 0 0 0 1 0 0 0
"Only Two Can Play" 1962 106 NA 6.3 141 4.5 0 4.5 4.5 4.5 14.5 14.5 24.5 14.5 4.5 "" 0 0 1 0 0 0 0
"Nur aus Liebe" 1996 100 NA 6.4 110 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 14.5 14.5 "" 1 0 0 0 0 1 0
"Basket, The" 1999 105 3000000 6.3 200 4.5 4.5 4.5 4.5 4.5 4.5 14.5 14.5 4.5 34.5 "PG" 0 0 0 1 0 0 0
"Porky's Midnight Matinee" 1941 7 NA 6.3 13 0 0 0 0 24.5 24.5 34.5 14.5 0 4.5 "" 0 1 1 0 0 0 1
"Bottle Rocket" 1994 13 NA 7.4 457 4.5 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 34.5 "" 0 0 1 0 0 0 1
"Training Wheels" 2002 90 NA 5 8 34.5 0 0 0 24.5 0 14.5 0 0 24.5 "" 0 0 1 1 0 0 0
"Barbed Wire" 1927 79 NA 8 26 4.5 0 4.5 0 4.5 0 24.5 14.5 14.5 34.5 "" 0 0 0 1 0 1 0
"Doktor Mladen" 1975 102 NA 5.5 5 24.5 0 0 0 0 44.5 0 24.5 24.5 0 "" 0 0 0 1 0 0 0
"New York Hat, The" 1912 16 NA 7.2 55 0 0 4.5 4.5 4.5 14.5 14.5 44.5 4.5 14.5 "" 0 0 0 1 0 0 1
"Usurer, The" 1910 17 NA 5.4 13 4.5 4.5 0 4.5 14.5 24.5 4.5 14.5 14.5 0 "" 0 0 0 1 0 0 1
"Sirocco" 1951 98 NA 5.9 224 0 4.5 4.5 4.5 14.5 24.5 24.5 14.5 4.5 4.5 "" 1 0 0 1 0 0 0
"Last Gun, The" 1959 8 NA 5.3 36 24.5 4.5 0 4.5 0 4.5 4.5 4.5 4.5 45.5 "" 0 0 0 0 0 0 1
"Detectress, The" 1919 21 NA 5.8 10 0 0 14.5 14.5 44.5 24.5 14.5 0 14.5 0 "" 0 0 1 0 0 0 1
"Brief History of Errol Morris, A" 2000 48 NA 6.5 25 0 0 4.5 0 0 14.5 34.5 34.5 4.5 4.5 "" 0 0 0 0 1 0 0
"Come Back, Charleston Blue" 1972 100 NA 5.8 46 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 14.5 14.5 "" 1 0 1 0 0 0 0
"Across the Great Divide" 1976 100 NA 6 82 4.5 4.5 4.5 4.5 14.5 24.5 24.5 14.5 4.5 14.5 "" 0 0 0 0 0 0 0
"Orphans of the Storm" 1921 152 NA 7.9 238 0 4.5 4.5 4.5 4.5 4.5 14.5 34.5 14.5 24.5 "" 0 0 0 1 0 0 0
"Ra" 1972 96 NA 6.5 54 24.5 14.5 14.5 4.5 4.5 4.5 4.5 4.5 4.5 14.5 "" 0 0 0 0 1 0 0
"Sing Me a Love Song" 1937 75 NA 6.7 12 0 0 0 4.5 0 34.5 34.5 14.5 4.5 0 "" 0 0 1 0 0 0 0
"Tristana" 1987 12 NA 7.4 35 0 0 0 4.5 4.5 0 14.5 24.5 14.5 44.5 "" 0 0 0 0 0 1 1
"This Is Not a Love Song" 2002 94 NA 6.6 125 4.5 4.5 4.5 4.5 4.5 14.5 24.5 14.5 14.5 14.5 "" 0 0 0 0 0 0 0
"Take It Back" 2004 10 NA 9.2 5 0 0 0 0 0 24.5 0 0 0 84.5 "" 0 0 0 1 0 0 1
"Digger" 1993 95 NA 4.5 67 14.5 4.5 4.5 14.5 14.5 4.5 14.5 14.5 4.5 24.5 "" 0 0 1 1 0 0 0
"Sumo Bruno" 2000 99 NA 7 46 4.5 0 4.5 4.5 14.5 14.5 14.5 14.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Bony a Klid" 1987 90 NA 6.2 24 4.5 0 0 4.5 14.5 4.5 24.5 14.5 24.5 4.5 "" 0 0 0 1 0 0 0
"Rufus" 1975 90 NA 5.7 11 0 0 4.5 4.5 14.5 14.5 4.5 4.5 4.5 14.5 "" 0 0 0 0 0 0 0
"Expreso nocturno" 2003 8 NA 7.3 6 0 0 0 0 14.5 0 45.5 0 14.5 14.5 "" 0 0 1 0 0 0 1
"Ggeol Deok-swi" 1989 94 NA 1.8 5 84.5 24.5 0 0 0 0 0 0 0 0 "" 0 0 0 1 0 0 0
"Mr. Moto Takes a Vacation" 1939 65 NA 6.1 43 4.5 4.5 4.5 4.5 4.5 24.5 24.5 14.5 4.5 4.5 "" 0 0 0 1 0 0 0
"Mast" 1999 153 NA 6 56 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 4.5 24.5 "" 0 0 0 0 0 1 0
"Great White Hope, The" 1970 103 6000000 6.9 369 4.5 4.5 4.5 4.5 4.5 14.5 34.5 24.5 4.5 4.5 "PG-13" 0 0 0 1 0 0 0
"Loving Jezebel" 1999 87 NA 4.2 105 14.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 14.5 "R" 0 0 1 0 0 1 0
"Baby Boom" 1987 110 NA 5.7 2151 4.5 4.5 4.5 4.5 14.5 24.5 14.5 14.5 4.5 4.5 "" 0 0 1 0 0 1 0
"Brugge, die stille" 1981 90 NA 4.7 5 0 0 0 24.5 44.5 24.5 0 0 0 24.5 "" 0 0 0 1 0 0 0
"Conflict of Wings" 1954 84 NA 3.1 6 0 0 14.5 0 14.5 14.5 14.5 14.5 0 14.5 "" 0 0 1 1 0 0 0
"Giraffe, Le" 2000 84 NA 3.8 5 44.5 0 0 0 24.5 44.5 0 0 0 0 "" 0 0 0 0 0 0 0
"Xin zuijia paidang" 1989 103 NA 5.2 37 4.5 0 4.5 14.5 24.5 24.5 14.5 4.5 0 4.5 "" 1 0 1 0 0 0 0
"Downstairs" 1932 77 NA 6.6 60 4.5 4.5 4.5 4.5 4.5 14.5 24.5 14.5 14.5 14.5 "" 0 0 0 1 0 0 0
"This Is America Part 2" 1977 102 NA 4.4 17 4.5 14.5 0 24.5 14.5 14.5 0 14.5 14.5 4.5 "" 0 0 0 0 1 0 0
"Coriolis Effect, The" 1994 33 NA 3.2 53 34.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 14.5 24.5 "" 0 0 0 0 0 0 1
"Rock-a-Bye Baby" 1958 103 NA 6.3 189 4.5 4.5 4.5 4.5 14.5 4.5 14.5 14.5 14.5 24.5 "" 0 0 1 0 0 0 0
"Jumanji" 1995 104 65000000 6 14874 4.5 4.5 4.5 4.5 14.5 24.5 24.5 14.5 4.5 4.5 "PG" 1 0 1 0 0 0 0
"Raising Cain" 1992 91 11000000 5.4 1885 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 4.5 4.5 "" 0 0 0 0 0 0 0
"Two for the Road" 1967 111 4000000 7.3 1251 4.5 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 34.5 "" 0 0 1 1 0 1 0
"Big Canyon" 1999 15 NA 6 20 0 0 4.5 14.5 24.5 14.5 24.5 14.5 14.5 14.5 "" 0 0 0 0 0 0 1
"Last Ride, The" 1991 84 NA 6.9 8 24.5 0 0 0 24.5 0 0 0 14.5 34.5 "" 0 0 0 0 0 0 0
"Golden Gate (Palace II)" 2002 21 NA 7.3 33 4.5 0 0 0 4.5 4.5 24.5 24.5 14.5 24.5 "" 0 0 0 0 0 0 1
"Fire Down Below" 1957 116 NA 5.9 146 0 4.5 4.5 4.5 14.5 34.5 14.5 4.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Whole Ten Yards, The" 2004 98 40000000 4.8 4133 4.5 4.5 4.5 14.5 14.5 14.5 14.5 4.5 4.5 4.5 "PG-13" 0 0 1 0 0 0 0
"Romeo und Julia im Schnee" 1920 34 NA 7.4 21 4.5 0 0 0 4.5 14.5 24.5 14.5 4.5 24.5 "" 0 0 1 0 0 0 1
"Squatter's Daughter, The" 1933 104 NA 5.8 8 0 0 0 14.5 14.5 24.5 24.5 24.5 0 0 "" 0 0 0 1 0 0 0
"Highly Dangerous" 1950 90 NA 6.5 29 0 0 4.5 4.5 14.5 24.5 34.5 4.5 4.5 14.5 "" 1 0 0 0 0 0 0
"Fuck Norge" 2004 82 NA 3.7 56 34.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 24.5 "" 0 0 1 0 0 0 0
"Santa Claus" 1959 94 NA 2 276 45.5 14.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 "" 0 0 0 0 0 0 0
"In & Out" 1997 92 35000000 6.2 10352 4.5 4.5 4.5 4.5 14.5 14.5 24.5 14.5 4.5 4.5 "PG-13" 0 0 1 0 0 0 0
"Who Killed Cock Robin?" 2005 88 NA 2 28 24.5 34.5 14.5 4.5 0 0 4.5 4.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Mr. Wong, Detective" 1938 70 NA 5.5 103 4.5 4.5 4.5 4.5 14.5 24.5 24.5 4.5 4.5 4.5 "" 0 0 0 1 0 0 0
"VIP: Very Important Pinoys" 2003 48 NA 3 6 14.5 34.5 14.5 14.5 0 14.5 0 0 0 0 "" 0 0 0 0 1 0 0
"Let's Stalk Spinach" 1951 6 NA 4.7 5 0 0 24.5 0 24.5 44.5 0 24.5 0 0 "" 0 1 1 0 0 0 1
"Silja - nuorena nukkunut" 1956 87 NA 6.3 19 0 0 0 14.5 4.5 24.5 24.5 14.5 14.5 14.5 "" 0 0 0 1 0 1 0
"Moy mladshiy brat" 1962 104 NA 7 6 0 0 0 0 0 0 64.5 0 14.5 14.5 "" 0 0 0 1 0 0 0
"Street of Women" 1932 59 NA 6.2 30 0 0 4.5 4.5 14.5 24.5 24.5 14.5 14.5 4.5 "" 0 0 0 1 0 0 0
"Riddle, The" 1996 87 NA 6.7 8 0 0 0 0 0 34.5 24.5 0 24.5 14.5 "" 0 0 0 1 0 0 0
"She's Too Tall" 1998 90 NA 5.4 28 14.5 14.5 4.5 4.5 4.5 0 14.5 4.5 4.5 34.5 "" 0 0 1 0 0 0 0
"Night Demons" 2004 15 NA 8.8 11 0 0 0 14.5 0 0 0 0 4.5 74.5 "" 1 0 0 0 0 0 1
"Mr. Bluesman" 1993 101 NA 4.6 26 34.5 0 4.5 0 14.5 14.5 14.5 14.5 4.5 4.5 "" 0 0 1 0 0 0 0
"Arm van Jezus, De" 2003 71 NA 5.9 43 4.5 0 4.5 4.5 14.5 14.5 34.5 24.5 4.5 0 "" 0 0 0 1 0 0 0
"All Dogs Go to Heaven 2" 1996 82 NA 4.5 331 4.5 4.5 4.5 14.5 14.5 14.5 14.5 4.5 4.5 4.5 "" 0 1 0 0 0 0 0
"Right Cross" 1950 90 NA 6.4 44 0 0 4.5 4.5 14.5 34.5 14.5 14.5 4.5 4.5 "" 0 0 0 1 0 0 0
"Samsara" 1991 28 NA 8.7 6 0 0 0 0 14.5 0 0 14.5 14.5 45.5 "" 0 0 0 0 0 0 1
"Joli coeur, Le" 1984 91 NA 4.8 6 0 0 14.5 34.5 14.5 14.5 14.5 0 0 0 "" 0 0 1 0 0 0 0
"So Big!" 1932 81 NA 7.3 153 4.5 0 4.5 4.5 4.5 4.5 14.5 14.5 24.5 34.5 "" 0 0 0 1 0 0 0
"Dodsworth" 1936 101 NA 8.2 639 4.5 4.5 4.5 4.5 4.5 4.5 14.5 24.5 24.5 24.5 "" 0 0 0 1 0 1 0
"Missing Persons" 2002 85 NA 4.2 20 14.5 4.5 14.5 4.5 0 0 14.5 14.5 24.5 24.5 "" 1 1 0 0 0 0 0
"Headin' for Broadway" 1980 89 NA 4.9 33 4.5 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 24.5 "" 0 0 0 1 0 0 0
