"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Thunder Trail",1937,58,NA,5.3,8,0,0,0,0,34.5,0,45.5,14.5,0,0,"",0,0,0,0,0,0,0
"Masseuse",1996,93,NA,2,56,14.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Finding His Voice",1929,11,NA,6.2,8,0,0,0,0,14.5,34.5,14.5,24.5,14.5,0,"",0,1,0,0,1,0,1
"F/X",1986,109,NA,6.5,3946,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Kafka",1991,92,11000000,6.9,1751,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Bodyguard, The",1992,130,NA,5.3,11415,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,1,0,1,0
"Games",1967,100,NA,6.8,121,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,0,0,0,0
"Always Together",1947,78,NA,5.6,32,4.5,0,4.5,14.5,4.5,24.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Preston Tylk",2000,93,NA,5.2,131,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Leaving Las Vegas",1995,111,4000000,7.5,18027,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Saturday Night at the Baths",1975,86,NA,5.7,5,24.5,0,0,0,0,24.5,24.5,0,24.5,24.5,"",0,0,1,1,0,0,0
"Book of Stars, The",2001,111,NA,6.3,182,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Historia Naturae, Suita",1967,9,NA,4.7,24,4.5,4.5,14.5,14.5,4.5,4.5,4.5,24.5,4.5,4.5,"",0,1,0,0,0,0,1
"Bhowani Junction",1956,110,NA,6,224,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,109,850000,6.9,607,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"More Dogs Than Bones",2000,99,NA,4.8,101,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Blind Flight",2003,97,NA,6.3,139,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Pokolenie",1955,83,NA,6.9,96,0,0,0,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"To my",2000,94,NA,3.8,21,14.5,24.5,14.5,14.5,14.5,4.5,0,0,0,0,"",0,0,1,1,0,0,0
"Light in the Piazza",1962,102,553280,6.5,162,4.5,0,0,4.5,14.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,1,0,1,0
"Trouble in Mind",1985,111,NA,6.1,274,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,"",0,0,0,1,0,0,0
"If I Had a Million",1932,88,NA,7.4,244,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,"",0,0,1,1,0,0,0
"Heavenly Bodies",1984,90,NA,3.9,103,14.5,14.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,14.5,"",0,0,0,1,0,1,0
"Juana la loca... de vez en cuando",1983,87,NA,3.3,15,34.5,4.5,4.5,0,24.5,14.5,4.5,4.5,0,4.5,"",0,0,1,0,0,0,0
"Freak Out",2004,92,NA,6.8,45,4.5,4.5,0,0,4.5,4.5,4.5,24.5,14.5,24.5,"",1,0,1,0,0,0,0
"Misadventures of Merlin Jones, The",1964,91,NA,5.5,79,4.5,0,4.5,14.5,24.5,14.5,24.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Pinocchio 3000",2004,80,NA,4.2,57,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"",0,1,0,0,0,0,0
"Legend of Lady Blue",1979,90,NA,3.7,15,24.5,4.5,0,4.5,24.5,14.5,0,0,24.5,4.5,"",0,0,0,1,0,0,0
"Anthropos gia oles tis douleies, O",1966,118,NA,5.9,7,0,14.5,0,14.5,14.5,14.5,0,24.5,14.5,0,"",0,0,1,0,0,0,0
"One Million AC/DC",1969,80,NA,2.4,35,44.5,14.5,4.5,14.5,4.5,0,4.5,4.5,0,14.5,"",0,0,0,1,0,0,0
"A-Lad-in His Lamp",1948,7,NA,7.9,52,4.5,0,0,4.5,4.5,14.5,14.5,14.5,14.5,34.5,"",0,1,1,0,0,0,1
"Heroes",1984,68,NA,6.3,6,0,14.5,0,0,0,0,14.5,14.5,14.5,34.5,"",0,0,0,0,0,0,0
"Traviata, La",1982,109,NA,8.4,250,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"",0,0,0,1,0,0,0
"Men Are Such Fools",1938,69,NA,6,58,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,0,4.5,"",0,0,0,1,0,1,0
"Funny Farm, The",1983,94,NA,4.4,21,14.5,4.5,4.5,14.5,14.5,4.5,0,14.5,4.5,4.5,"",0,0,1,1,0,0,0
"Romance on the Range",1942,63,NA,7.5,7,0,0,0,0,0,14.5,45.5,14.5,0,14.5,"",0,0,0,0,0,0,0
"Caduta degli dei, La",1969,150,NA,7.3,708,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Secret of Roan Inish, The",1994,103,NA,7.3,2080,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,0,0,0,0
"Sixth Happiness",1997,97,NA,7.4,59,0,0,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,"",0,0,0,1,0,0,0
"Notti bianche, Le",1957,107,NA,7.9,161,0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"",0,0,0,1,0,0,0
"Above the Law",1988,93,NA,5.2,3126,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0
"Out on a Limb",1950,7,NA,6.7,27,0,0,4.5,4.5,4.5,14.5,14.5,24.5,4.5,24.5,"",0,1,1,0,0,0,1
"Merchants of War",1988,87,NA,4,14,0,34.5,4.5,4.5,14.5,14.5,14.5,0,0,4.5,"",1,0,0,0,0,0,0
"Studie Nr. 11",1932,4,NA,8.9,5,0,0,0,0,0,0,0,44.5,64.5,0,"",0,0,0,0,0,0,1
"Fire Raisers, The",1934,77,NA,4.1,9,0,0,14.5,24.5,34.5,14.5,24.5,0,0,0,"",0,0,0,0,0,0,0
"Celos",1999,105,NA,6.4,125,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"Smoker, The",2000,19,NA,7.6,7,0,0,14.5,0,14.5,0,14.5,0,24.5,24.5,"",0,0,0,0,0,0,1
"Apfel ist ab, Der",1948,105,NA,8.8,7,14.5,0,14.5,0,14.5,0,0,14.5,14.5,24.5,"",0,0,1,0,0,0,0
"Cure for Boredom, The",2000,87,NA,4.4,21,14.5,0,14.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,1,0,0,0,0
"Johanna D'Arc of Mongolia",1989,165,NA,8.5,30,4.5,4.5,0,0,0,4.5,14.5,14.5,4.5,45.5,"",0,0,0,0,0,0,0
"Farewell to the King",1989,115,NA,5.6,403,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Harem Suare'",1999,112,NA,5.5,285,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Calling Dr. Kildare",1939,86,NA,6.3,43,4.5,0,4.5,4.5,4.5,14.5,45.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Im Lauf der Zeit",1976,176,NA,8.2,341,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"",0,0,0,1,0,0,0
"Student Teachers, The",1973,90,NA,4.5,13,34.5,0,4.5,4.5,14.5,0,4.5,14.5,14.5,0,"",0,0,1,0,0,0,0
"Odoru daisosasen",1998,119,NA,7,148,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",1,0,1,0,0,0,0
"Sandmann, Der",1993,104,NA,5.3,7,0,0,14.5,0,14.5,24.5,14.5,14.5,0,14.5,"",0,0,0,0,0,0,0
"Bacheha-Ye aseman",1997,89,180000,7.6,1499,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,1,0,0,0
"Bruce Almighty",2003,101,81000000,6.4,23905,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Carmen la de Ronda",1959,111,NA,7,15,0,0,0,0,4.5,14.5,34.5,24.5,4.5,24.5,"",0,0,0,1,0,0,0
"Pi pi pilleri",1982,88,NA,2.1,16,34.5,14.5,14.5,14.5,0,4.5,4.5,0,0,0,"",0,0,1,0,0,0,0
"On the Right Track",1981,97,NA,4.9,88,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Earl's Your Uncle",2004,19,10000,9.1,28,4.5,0,0,0,0,4.5,0,0,4.5,84.5,"",0,0,1,0,0,0,1
"Sin ton ni Sonia",2003,113,NA,5.2,58,14.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Yi jian zhong qing",2000,98,NA,6,49,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,1,0
"Nikita",1990,112,NA,7.6,10867,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,0,0,0,0,0
"Tarzan's Savage Fury",1952,81,NA,5.3,37,4.5,0,0,24.5,24.5,4.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Danger on the Air",1938,70,NA,6.8,7,0,0,0,0,0,24.5,24.5,14.5,24.5,0,"",0,0,0,0,0,0,0
"Spiral",1999,18,NA,4.9,26,14.5,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",0,0,0,0,0,0,1
"Broadway Melody of 1940",1940,102,NA,7.3,240,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"",0,0,0,0,0,0,0
"Muzungu",1999,100,NA,6.9,30,4.5,0,4.5,0,4.5,14.5,34.5,24.5,4.5,24.5,"",0,0,1,0,0,0,0
"Graveyard Shift",1990,89,10500000,3.8,1074,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Rampe & Naukkis - Kaikkien aikojen superpari",1990,90,NA,6,33,4.5,4.5,4.5,14.5,4.5,4.5,24.5,14.5,4.5,24.5,"",0,0,1,0,0,0,0
"Porky's Tire Trouble",1939,7,NA,6.1,9,0,0,0,0,24.5,24.5,14.5,24.5,24.5,0,"",0,1,1,0,0,0,1
"Cobra Mission",1985,85,NA,3.5,23,24.5,24.5,0,14.5,4.5,4.5,4.5,4.5,0,4.5,"",1,0,0,0,0,0,0
"Huevos de oro",1993,95,NA,5.9,343,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"New Year's Day",1989,89,NA,5.1,70,14.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,14.5,"",0,0,1,1,0,0,0
"Zerbrochene Krug, Der",1937,86,NA,6.8,20,0,0,4.5,0,14.5,0,24.5,4.5,24.5,34.5,"",0,0,0,0,0,0,0
"Bomben auf Monte Carlo",1931,111,NA,6.5,34,4.5,4.5,4.5,0,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,0,0
"Country Doctor, The",1936,110,NA,5.8,6,0,0,0,14.5,0,34.5,14.5,14.5,0,14.5,"",0,0,0,1,0,0,0
"Misterios de ultratumba",1959,71,NA,4.7,18,4.5,0,0,24.5,14.5,4.5,14.5,0,4.5,34.5,"",0,0,0,0,0,0,0
"Bulworth",1998,108,30000000,6.9,8277,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,1,0,1,0
"Valseuses, Les",1974,117,NA,7.3,1019,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,1,0,0,0,0
"Peppermills",1997,12,NA,3.4,13,14.5,0,0,4.5,0,0,0,45.5,24.5,0,"",0,0,0,0,0,0,1
"Ek Din Pratidin",1979,95,NA,9,9,0,0,0,0,0,0,24.5,14.5,14.5,45.5,"",0,0,0,0,0,0,0
"Eiga joyu",1987,130,NA,7.3,5,0,0,0,0,44.5,24.5,0,24.5,0,24.5,"",0,0,0,1,0,0,0
"Karate Kid, Part II, The",1986,113,NA,5.1,6130,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0
"Sweetest Thing, The",2002,90,43000000,4.7,8284,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Spirit of Christmas, The",1950,27,NA,2,5,0,24.5,0,0,0,0,0,0,0,84.5,"",0,0,0,0,0,0,1
"Box Man, The",2002,6,NA,7.3,15,0,4.5,0,0,0,4.5,0,24.5,24.5,44.5,"",0,1,0,0,0,0,1
"Westward Passage",1932,73,NA,5.3,28,0,0,4.5,24.5,14.5,4.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Mummy Lives, The",1993,97,NA,3.2,55,14.5,14.5,24.5,24.5,4.5,14.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Ostria, to telos tou paixnidiou",1984,93,NA,5.1,7,14.5,0,0,0,14.5,24.5,0,14.5,14.5,14.5,"",0,0,0,1,0,0,0
"Graffiti Bridge",1990,95,NA,3.7,297,14.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,14.5,"",0,0,0,1,0,0,0
"Dokter Vlimmen",1977,107,NA,6,47,0,0,0,4.5,14.5,24.5,44.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Beau fixe",1992,92,NA,6.1,47,4.5,4.5,4.5,0,4.5,24.5,24.5,14.5,14.5,4.5,"",0,0,0,1,0,0,0
"Lady in Red, The",1979,93,NA,5.4,249,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0
"Sanchaeg",2000,100,NA,6.4,15,4.5,0,0,0,24.5,24.5,14.5,24.5,4.5,0,"",0,0,0,1,0,0,0
